Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Alevi Femeni, 1a Fase, 12, 08/02/20, PME-AEH LES FRANQUESES NEGRE, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 12, 08/02/20, DESCANSA, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 12, 08/02/20, HC LAIETA ARG, CH PALAUTORDERA VERD, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 12, 08/02/20, CH PALAUTORDERA BLANC, CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 12, 08/02/20, LA SALLE M A , CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 13, 15/02/20, CH CARDEDEU BLANC, PME-AEH LES FRANQUESES NEGRE, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 13, 15/02/20, CH PALAUTORDERA VERD, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 13, 15/02/20, CH CARDEDEU VERMELL, CH PALAUTORDERA BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 13, 15/02/20, LA SALLE M B , LA SALLE M A , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 13, 15/02/20, CH CANOVELLES, HC LAIETA ARG, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 14, 29/02/20, PME-AEH LES FRANQUESES NEGRE, CH PALAUTORDERA VERD, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 14, 29/02/20, DESCANSA, HC LAIETA ARG, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 14, 29/02/20, CH CARDEDEU VERMELL, CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 14, 29/02/20, CH PALAUTORDERA BLANC, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 14, 29/02/20, LA SALLE M A , CH CARDEDEU BLANC, A DESIGNAR, 00:00
